Page,KnownLinks,UnknownLinks,InterLinks,OutLinks
http://www.nju.edu.cn,38,51,38,51
http://www.nju.edu.cn/5/list.htm,33,40,33,39
http://www.nju.edu.cn/57/list.htm,33,40,33,39
http://www.nju.edu.cn/24/list.htm,33,47,33,46
http://www.nju.edu.cn/18/list.htm,33,41,33,39
http://www.nju.edu.cn/16/list.htm,33,40,33,39
http://www.nju.edu.cn/20/list.htm,38,40,38,39
http://www.nju.edu.cn/25/list.htm,33,61,33,59
http://www.nju.edu.cn/31/23/c20a12579/page.htm,34,41,34,39
http://www.nju.edu.cn/53/list.htm,33,46,33,45
http://www.nju.edu.cn/52/list.htm,33,41,33,40
http://www.nju.edu.cn/19/list.htm,33,41,33,39
http://www.nju.edu.cn/51/list.htm,33,42,33,41
http://www.nju.edu.cn/9/list.htm,33,40,33,39
http://www.nju.edu.cn/00/b0/c20a176/page.htm,34,41,34,39
http://www.nju.edu.cn/27/list.htm,33,117,33,115
http://www.nju.edu.cn/6/list.htm,33,42,33,41
http://www.nju.edu.cn/english,1,1,1,1
http://www.nju.edu.cn/8/list.htm,33,41,33,40
http://www.nju.edu.cn/7/list.htm,33,53,33,52
http://www.nju.edu.cn/17/list.htm,33,42,33,40
http://www.nju.edu.cn/15/list.htm,33,40,33,39
http://www.nju.edu.cn/26/list.htm,33,53,33,51
http://www.nju.edu.cn/56/list.htm,33,43,33,39
http://www.nju.edu.cn/79/list.htm,33,41,33,39
http://www.nju.edu.cn/38/list.htm,33,43,33,42
http://www.nju.edu.cn/06/9a/c20a1690/page.htm,34,41,34,39
http://www.nju.edu.cn/37/list.htm,33,40,33,39
http://www.nju.edu.cn/36/list.htm,33,42,33,41
http://www.nju.edu.cn/39/list.htm,33,41,33,40
http://www.nju.edu.cn/12/list.htm,33,41,33,39
http://www.nju.edu.cn/14/list.htm,33,79,33,79
http://www.nju.edu.cn/13/list.htm,33,41,33,39
http://www.nju.edu.cn/10/list.htm,33,40,33,39
http://www.nju.edu.cn/80/list.htm,33,40,33,39
http://www.nju.edu.cn/16/db/c20a5851/page.htm,34,41,34,39
http://www.nju.edu.cn/54/list.htm,33,40,33,39
http://www.nju.edu.cn/00/af/c20a175/page.htm,34,41,34,39
