Page,KnownLinks,UnknownLinks,InterLinks,OutLinks
http://cybermetrics.wlv.ac.uk/audit/101/sites11.htm,2,0,2,0
http://socscibot.wlv.ac.uk/help/reports.htm,8,0,7,1
http://cybermetrics.wlv.ac.uk/AoIRASIST/bar-ilan.html,20,3,20,3
http://socscibot.wlv.ac.uk/full_install/index.html,8,6,7,7
http://cybermetrics.wlv.ac.uk/blackcountrytranslation.php,0,4,0,4
http://cybermetrics.wlv.ac.uk/database/banned_tw_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/Mayr_full.html,21,2,21,2
http://cybermetrics.wlv.ac.uk/database/banned_aus_2002.txt,0,0,0,0
http://linkanalysis.wlv.ac.uk/6.htm,29,4,29,4
http://cybermetrics.wlv.ac.uk/database/stats,8,1,8,0
http://cybermetrics.wlv.ac.uk/database/stats/data/cn_2002_file_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/sites8.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/LexiURL/help/FAQ.htm,5,2,4,1
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=D&O=D,38,0,38,0
http://cybermetrics.wlv.ac.uk/audit/101/urls3.htm,2,53,2,53
http://cybermetrics.wlv.ac.uk/database/banned_au_2004.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/university_lists.htm,0,0,0,0
http://linkanalysis.wlv.ac.uk/12.htm,29,2,29,2
http://linkanalysis.wlv.ac.uk/22.htm,29,9,29,9
http://linkanalysis.wlv.ac.uk/21.htm,29,4,29,4
http://cybermetrics.wlv.ac.uk/audit/books/stlds3.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/nz_2002_uni_document_counts_from_to.txt,0,0,0,0
http://socscibot.wlv.ac.uk/socscibot4help/tutorial4.htm,9,2,7,4
http://socscibot.wlv.ac.uk/socscibot4help/reports.htm,8,2,7,3
http://cybermetrics.wlv.ac.uk/audit/101/stlds4.htm,2,0,2,0
http://linkanalysis.wlv.ac.uk/17.htm,30,16,29,17
http://linkanalysis.wlv.ac.uk/19.htm,30,1,29,2
http://cybermetrics.wlv.ac.uk/audit/101/tlds1.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/101/domains7.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/cugelman/index.html,8,10,8,10
http://cybermetrics.wlv.ac.uk/database/banned_au_2003.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/tlds4.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/banned_nz_2002.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/urls8.htm,3,71,3,71
http://cybermetrics.wlv.ac.uk/about.html,13,1,12,2
http://cybermetrics.wlv.ac.uk/QueriesForWebometrics.htm,10,22,10,22
http://socscibot.wlv.ac.uk/socscibot4help/MakingALargeNetworkDiagram.htm,8,2,7,3
http://cybermetrics.wlv.ac.uk/database/stats/data/?C=S&O=A,38,0,38,0
http://cybermetrics.wlv.ac.uk/database/stats/data,38,0,38,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/caldas.html,20,0,20,0
http://cybermetrics.wlv.ac.uk/database/stats/data/au_2001_uni_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/sites9.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/tlds6.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/101/tlds11.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/banned_es_2002.txt,0,0,0,0
http://linkanalysis.wlv.ac.uk/A.htm,29,1,29,1
http://cybermetrics.wlv.ac.uk/audit/101/tlds10.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/101/stlds3.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/data/au_2001_file_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/sites9.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/domains2.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/sites5.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/domains6.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/audit/books/tlds10.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/data/es_2002_domain_document_counts_from_to.txt,0,0,0,0
http://linkanalysis.wlv.ac.uk/reviews.htm,29,3,29,3
http://cybermetrics.wlv.ac.uk/audit/books/sites7.htm,1,1,1,0
http://cybermetrics.wlv.ac.uk/database/stats/start.html,2,0,2,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/Harabi.html,20,0,20,0
http://cybermetrics.wlv.ac.uk/audit/101/domains9.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/books/stlds2.htm,1,1,1,0
http://linkanalysis.wlv.ac.uk/25.htm,29,1,29,1
http://cybermetrics.wlv.ac.uk/people.htm,13,27,13,27
http://cybermetrics.wlv.ac.uk/audit/books/sites4.htm,1,1,1,0
http://linkanalysis.wlv.ac.uk/7.htm,29,3,29,3
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=N&O=D,6,0,6,0
http://cybermetrics.wlv.ac.uk/database/banned_uk_2003.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=N&O=A,6,0,6,0
http://cybermetrics.wlv.ac.uk/audit/101/urls1.htm,2,19,2,19
http://cybermetrics.wlv.ac.uk/AoIRASIST/rall.html,20,1,20,1
http://cybermetrics.wlv.ac.uk/AoIRASIST/mayr.html,21,1,21,1
http://cybermetrics.wlv.ac.uk/funding.htm,13,16,13,16
http://cybermetrics.wlv.ac.uk/audit/books/urls10.htm,1,211,1,210
http://cybermetrics.wlv.ac.uk/database/banned_nz_2004.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/stlds1.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/socialnetworks,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/101/stlds10.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/audit/index.html,14,1,14,1
http://cybermetrics.wlv.ac.uk/AoIRASIST/Fry.html,20,1,20,1
http://cybermetrics.wlv.ac.uk/audit/books/urls4.htm,1,16,1,15
http://cybermetrics.wlv.ac.uk/database/stats/data_only/?C=M&O=D,6,0,6,0
http://cybermetrics.wlv.ac.uk/database/stats/data/au_2001_domain_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/LexiURL/help/SummarisingLinkLists.htm,3,2,3,0
http://cybermetrics.wlv.ac.uk/people/JonathanLevitt.html,10,1,10,1
http://cybermetrics.wlv.ac.uk/database/stats/?C=N&O=D,8,3,8,0
http://cybermetrics.wlv.ac.uk/audit/101/stlds6.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/banned.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/stats/?C=N&O=A,8,3,8,0
http://cybermetrics.wlv.ac.uk/database/stats/?C=M&O=A,8,3,8,0
http://linkanalysis.wlv.ac.uk/9.htm,29,4,29,4
http://cybermetrics.wlv.ac.uk/database/stats/data/UK_2002_directory_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/audit/books/urls1.htm,1,150,1,149
http://cybermetrics.wlv.ac.uk/database/stats/?C=M&O=D,8,3,8,0
http://socscibot.wlv.ac.uk,12,4,10,6
http://cybermetrics.wlv.ac.uk/LexiURL/help/UsingGoogleAPI.htm,5,1,4,2
http://cybermetrics.wlv.ac.uk/database/stats/?C=D&O=A,8,3,8,0
http://cybermetrics.wlv.ac.uk/AoIRASIST/Nentwich.html,20,6,20,6
http://cybermetrics.wlv.ac.uk/database/stats/data/es_2002_directory_document_counts_from_to.txt,0,0,0,0
http://cybermetrics.wlv.ac.uk/database/stats/?C=D&O=D,8,3,8,0
http://cybermetrics.wlv.ac.uk/services.html,11,3,11,3
http://cybermetrics.wlv.ac.uk/index.html,11,4,11,4
http://cybermetrics.wlv.ac.uk/AoIRASIST,20,2,20,2
http://cybermetrics.wlv.ac.uk/PreviousEvents.htm,12,37,12,37
http://cybermetrics.wlv.ac.uk/audit/books/tlds3.htm,1,1,1,0
http://linkanalysis.wlv.ac.uk/2.htm,29,3,29,3
http://cybermetrics.wlv.ac.uk/audit/101/domains4.htm,2,0,2,0
http://cybermetrics.wlv.ac.uk/database/stats/?C=S&O=A,8,3,8,0
